id,title,genres,averageRating,numVotes,releaseYear
tt0229260,"Book of Shadows: Blair Witch 2","Adventure, Fantasy, Horror",4,40610,2000
tt0479968,"One Missed Call","Horror, Mystery",4,34383,2008
tt0433412,"Material Girls","Comedy, Family, Romance",4,22850,2006
tt3062074,"Sharknado 2: The Second One","Action, Adventure, Comedy",4,20861,2014
tt10230426,"Mrs. Serial Killer","Crime, Drama, Thriller",4,19204,2020
tt2034139,"The Last Exorcism Part II","Horror, Thriller",4,17162,2013
tt8907992,"The Girl on the Train","Crime, Drama, Mystery",4,15132,2021
tt4600952,"The Guardians","Action, Adventure, Comedy",4,14742,2017
tt3899796,"Sharknado 3: Oh Hell No!","Action, Adventure, Comedy",4,14100,2015
tt14502344,They/Them,"Drama, Horror, Mystery",4,12321,2022
tt10303324,"Survive the Night","Action, Drama, Thriller",4,12077,2020
tt9625664,"Trauma Center","Action, Thriller",4,12054,2019
tt0212235,"Shriek If You Know What I Did Last Friday the Thirteenth","Comedy, Horror",4,11668,2000
tt11253090,Annaatthe,"Action, Comedy, Drama",4,10883,2021
tt8400758,"Killers Anonymous","Action, Crime, Mystery",4,10430,2019
tt13851804,Siavash,Drama,4,10322,2021
tt1190617,"An American Carol","Comedy, Fantasy",4,10159,2008
tt12262202,"The Acolyte","Action, Adventure, Drama",4.1,124342,2024
tt0312528,"The Cat in the Hat","Adventure, Comedy, Family",4.1,89384,2003
tt0111301,"Street Fighter","Action, Adventure, Comedy",4.1,76531,1994
tt0107254,"Jason Goes to Hell","Fantasy, Horror, Thriller",4.1,37982,1993
tt0329691,Torque,"Action, Comedy, Crime",4.1,29782,2004
tt1633356,"Shark Night","Action, Horror, Thriller",4.1,27436,2011
tt1679235,"Mean Girls 2","Comedy, Drama",4.1,26205,2011
tt2375779,"Wrong Turn 5: Bloodlines","Adventure, Horror",4.1,23684,2012
tt5913798,Wounds,"Drama, Horror, Mystery",4.1,22227,2019
tt5970844,"Thugs of Hindostan","Action, Adventure",4.1,22218,2018
tt1433822,"The Apparition","Horror, Thriller",4.1,20783,2012
tt0960890,"Zombie Strippers!","Comedy, Horror, Sci-Fi",4.1,19121,2008
tt3612032,"Wrong Turn 6: Last Resort","Adventure, Horror",4.1,18094,2014
tt0119718,"Mr. Magoo","Adventure, Comedy, Family",4.1,16344,1997
tt5103758,"Troy: Fall of a City","Action, Adventure, Fantasy",4.1,15698,2018
tt27785647,"Episode #1.8","Comedy, Drama, Romance",4.1,15171,2023
